"","word","ar_orf","es_orf","mx_orf","aes_orf","ar_ord","es_ord","mx_ord","aes_ord"
"77399","recapacitar",0,0,0.13,0.04,0,0,0.08,0.02
"77400","recapacite",0,0,0.4,0.11,0,0,0.25,0.07
"77401","recapacitemos",0,0,0.13,0.04,0,0,0.08,0.02
"77402","recatarme",0,0,0.13,0.04,0,0,0.08,0.02
"77403","recaudos",0,0,0.13,0.04,0,0,0.08,0.02
"77404","receba",0,0,0.13,0.04,0,0,0.08,0.02
"77405","recebe",0,0,0.13,0.04,0,0,0.08,0.02
"77406","recebindo",0,0,0.13,0.04,0,0,0.08,0.02
"77407","recebo",0,0,0.27,0.08,0,0,0.17,0.05
"77408","recega",0,0,0.13,0.04,0,0,0.08,0.02
"77409","recelosa",0,0,0.13,0.04,0,0,0.08,0.02
"77410","recelosos",0,0,0.13,0.04,0,0,0.08,0.02
"77411","recepciones",0,0,0.27,0.08,0,0,0.17,0.05
"77412","recepcionista",0,0,0.13,0.04,0,0,0.08,0.02
"77413","receptores",0,0,0.13,0.04,0,0,0.08,0.02
"77414","reces",0,0,0.13,0.04,0,0,0.08,0.02
"77415","recetaran",0,0,0.13,0.04,0,0,0.08,0.02
"77416","rechazados",0,0,0.27,0.08,0,0,0.08,0.02
"77417","rechazará",0,0,0.13,0.04,0,0,0.08,0.02
"77418","rechazaremos",0,0,0.13,0.04,0,0,0.08,0.02
"77419","rechicho",0,0,0.13,0.04,0,0,0.08,0.02
"77420","rechicludas",0,0,0.13,0.04,0,0,0.08,0.02
"77421","rechillones",0,0,0.13,0.04,0,0,0.08,0.02
"77422","rechina",0,0,0.13,0.04,0,0,0.08,0.02
"77423","rechinaban",0,0,0.13,0.04,0,0,0.08,0.02
"77424","rechingón",0,0,0.13,0.04,0,0,0.08,0.02
"77425","rechiquita",0,0,0.13,0.04,0,0,0.08,0.02
"77426","rechula",0,0,0.13,0.04,0,0,0.08,0.02
"77427","rechulo",0,0,0.27,0.08,0,0,0.08,0.02
"77428","rechulona",0,0,0.13,0.04,0,0,0.08,0.02
"77429","rechupa",0,0,0.13,0.04,0,0,0.08,0.02
"77430","recíbanlas",0,0,0.13,0.04,0,0,0.08,0.02
"77431","recíbeme",0,0,0.13,0.04,0,0,0.08,0.02
"77432","recibirás",0,0,0.27,0.08,0,0,0.17,0.05
"77433","recibiría",0,0,0.13,0.04,0,0,0.08,0.02
"77434","recibirían",0,0,0.27,0.08,0,0,0.17,0.05
"77435","recibirse",0,0,0.27,0.08,0,0,0.17,0.05
"77436","recibitos",0,0,0.13,0.04,0,0,0.08,0.02
"77437","recicla",0,0,0.13,0.04,0,0,0.08,0.02
"77438","reciclando",0,0,0.13,0.04,0,0,0.08,0.02
"77439","recinche",0,0,0.13,0.04,0,0,0.08,0.02
"77440","recio",0,0,0.53,0.15,0,0,0.25,0.07
"77441","reciprocidad",0,0,0.4,0.11,0,0,0.17,0.05
"77442","recitación",0,0,0.13,0.04,0,0,0.08,0.02
"77443","recitarán",0,0,0.13,0.04,0,0,0.08,0.02
"77444","reclamada",0,0,0.13,0.04,0,0,0.08,0.02
"77445","reclamará",0,0,0.13,0.04,0,0,0.08,0.02
"77446","reclamarla",0,0,0.13,0.04,0,0,0.08,0.02
"77447","reclamarte",0,0,0.13,0.04,0,0,0.08,0.02
"77448","reclasificara",0,0,0.13,0.04,0,0,0.08,0.02
"77449","recleccion",0,0,0.13,0.04,0,0,0.08,0.02
"77450","recluído",0,0,0.13,0.04,0,0,0.08,0.02
"77451","reclutado",0,0,0.27,0.08,0,0,0.17,0.05
"77452","reco",0,0,0.13,0.04,0,0,0.08,0.02
"77453","recobra",0,0,0.13,0.04,0,0,0.08,0.02
"77454","recobre",0,0,0.13,0.04,0,0,0.08,0.02
"77455","recodo",0,0,0.13,0.04,0,0,0.08,0.02
"77456","recodos",0,0,0.13,0.04,0,0,0.08,0.02
"77457","recogedor",0,0,0.13,0.04,0,0,0.08,0.02
"77458","recógelo",0,0,0.13,0.04,0,0,0.08,0.02
"77459","recógelos",0,0,0.13,0.04,0,0,0.08,0.02
"77460","recogerlas",0,0,0.13,0.04,0,0,0.08,0.02
"77461","recogerse",0,0,0.13,0.04,0,0,0.08,0.02
"77462","recójase",0,0,0.13,0.04,0,0,0.08,0.02
"77463","recoje",0,0,0.13,0.04,0,0,0.08,0.02
"77464","recolectando",0,0,0.13,0.04,0,0,0.08,0.02
"77465","recolectar",0,0,0.13,0.04,0,0,0.08,0.02
"77466","recomendarle",0,0,0.27,0.08,0,0,0.17,0.05
"77467","recomiendas",0,0,0.13,0.04,0,0,0.08,0.02
"77468","recompensan",0,0,0.13,0.04,0,0,0.08,0.02
"77469","recompenzas",0,0,0.13,0.04,0,0,0.08,0.02
"77470","recompilar",0,0,0.13,0.04,0,0,0.08,0.02
"77471","reconcentra",0,0,0.13,0.04,0,0,0.08,0.02
"77472","reconcentrado",0,0,0.13,0.04,0,0,0.08,0.02
"77473","reconcentrarme",0,0,0.13,0.04,0,0,0.08,0.02
"77474","reconcéntrese",0,0,0.13,0.04,0,0,0.08,0.02
"77475","reconcilien",0,0,0.13,0.04,0,0,0.08,0.02
"77476","reconforta",0,0,0.13,0.04,0,0,0.08,0.02
"77477","reconfortaría",0,0,0.13,0.04,0,0,0.08,0.02
"77478","reconfortarnos",0,0,0.13,0.04,0,0,0.08,0.02
"77479","reconfortarte",0,0,0.13,0.04,0,0,0.08,0.02
"77480","reconocéis",0,0,0.13,0.04,0,0,0.08,0.02
"77481","reconocerá",0,0,0.27,0.08,0,0,0.17,0.05
"77482","reconocerme",0,0,0.27,0.08,0,0,0.17,0.05
"77483","reconocernos",0,0,0.13,0.04,0,0,0.08,0.02
"77484","reconózcannos",0,0,0.13,0.04,0,0,0.08,0.02
"77485","reconquistar",0,0,0.27,0.08,0,0,0.17,0.05
"77486","reconstruyendo",0,0,0.13,0.04,0,0,0.08,0.02
"77487","recontento",0,0,0.13,0.04,0,0,0.08,0.02
"77488","recopilación",0,0,0.13,0.04,0,0,0.08,0.02
"77489","recorcho",0,0,0.13,0.04,0,0,0.08,0.02
"77490","recorda",0,0,0.13,0.04,0,0,0.08,0.02
"77491","recordación",0,0,0.13,0.04,0,0,0.08,0.02
"77492","recordándole",0,0,0.13,0.04,0,0,0.08,0.02
"77493","recordaremos",0,0,0.13,0.04,0,0,0.08,0.02
"77494","recordártelo",0,0,0.13,0.04,0,0,0.08,0.02
"77495","recordese",0,0,0.13,0.04,0,0,0.08,0.02
"77496","recoroso",0,0,0.13,0.04,0,0,0.08,0.02
"77497","recórranse",0,0,0.13,0.04,0,0,0.08,0.02
"77498","recorremos",0,0,0.13,0.04,0,0,0.08,0.02
"77499","recorrerán",0,0,0.13,0.04,0,0,0.08,0.02
"77500","recorrieran",0,0,0.13,0.04,0,0,0.08,0.02
"77501","recortadita",0,0,0.13,0.04,0,0,0.08,0.02
"77502","recortando",0,0,0.13,0.04,0,0,0.08,0.02
"77503","recórteles",0,0,0.13,0.04,0,0,0.08,0.02
"77504","recostadote",0,0,0.13,0.04,0,0,0.08,0.02
"77505","recostarme",0,0,0.13,0.04,0,0,0.08,0.02
"77506","rectangulares",0,0,0.13,0.04,0,0,0.08,0.02
"77507","rectificado",0,0,0.13,0.04,0,0,0.08,0.02
"77508","recua",0,0,0.27,0.08,0,0,0.17,0.05
"77509","recuas",0,0,0.13,0.04,0,0,0.08,0.02
"77510","recuérdeme",0,0,0.13,0.04,0,0,0.08,0.02
"77511","recuérdenlo",0,0,0.13,0.04,0,0,0.08,0.02
"77512","recuérdense",0,0,0.13,0.04,0,0,0.08,0.02
"77513","recuérdese",0,0,0.13,0.04,0,0,0.08,0.02
"77514","recuperándose",0,0,0.13,0.04,0,0,0.08,0.02
"77515","recuperándote",0,0,0.13,0.04,0,0,0.08,0.02
"77516","recuperarlas",0,0,0.13,0.04,0,0,0.08,0.02
"77517","recuperarme",0,0,0.13,0.04,0,0,0.08,0.02
"77518","recuperarnos",0,0,0.13,0.04,0,0,0.08,0.02
"77519","recuperase",0,0,0.13,0.04,0,0,0.08,0.02
"77520","recurre",0,0,0.13,0.04,0,0,0.08,0.02
"77521","redactaré",0,0,0.13,0.04,0,0,0.08,0.02
"77522","redacte",0,0,0.13,0.04,0,0,0.08,0.02
"77523","rede",0,0,0.27,0.08,0,0,0.17,0.05
"77524","rediez",0,0,0.13,0.04,0,0,0.08,0.02
"77525","redil",0,0,0.4,0.11,0,0,0.25,0.07
"77526","redimiremos",0,0,0.13,0.04,0,0,0.08,0.02
"77527","redimirla",0,0,0.13,0.04,0,0,0.08,0.02
"77528","redio",0,0,0.27,0.08,0,0,0.08,0.02
"77529","rediseñó",0,0,0.13,0.04,0,0,0.08,0.02
"77530","redondel",0,0,0.27,0.08,0,0,0.08,0.02
"77531","redondezas",0,0,0.13,0.04,0,0,0.08,0.02
"77532","redondita",0,0,0.4,0.11,0,0,0.17,0.05
"77533","redor",0,0,0.27,0.08,0,0,0.08,0.02
"77534","redosas",0,0,0.13,0.04,0,0,0.08,0.02
"77535","redoso",0,0,0.27,0.08,0,0,0.17,0.05
"77536","redrogo",0,0,0.13,0.04,0,0,0.08,0.02
"77537","reduciré",0,0,0.13,0.04,0,0,0.08,0.02
"77538","redundado",0,0,0.13,0.04,0,0,0.08,0.02
"77539","reeducar",0,0,0.13,0.04,0,0,0.08,0.02
"77540","reencarnándose",0,0,0.13,0.04,0,0,0.08,0.02
"77541","reencontrarnos",0,0,0.13,0.04,0,0,0.08,0.02
"77542","reenergetizarse",0,0,0.13,0.04,0,0,0.08,0.02
"77543","reescribir",0,0,0.13,0.04,0,0,0.08,0.02
"77544","reestablecerlo",0,0,0.13,0.04,0,0,0.08,0.02
"77545","reestiradita",0,0,0.13,0.04,0,0,0.08,0.02
"77546","reeves",0,0,0.13,0.04,0,0,0.08,0.02
"77547","refaccionaria",0,0,0.13,0.04,0,0,0.08,0.02
"77548","refaccioni",0,0,0.13,0.04,0,0,0.08,0.02
"77549","refajo",0,0,0.13,0.04,0,0,0.08,0.02
"77550","refea",0,0,0.27,0.08,0,0,0.08,0.02
"77551","referee",0,0,0.27,0.08,0,0,0.17,0.05
"77552","referencial",0,0,0.13,0.04,0,0,0.08,0.02
"77553","referenda",0,0,0.13,0.04,0,0,0.08,0.02
"77554","referí",0,0,0.13,0.04,0,0,0.08,0.02
"77555","referías",0,0,0.13,0.04,0,0,0.08,0.02
"77556","refesos",0,0,0.13,0.04,0,0,0.08,0.02
"77557","refinamiento",0,0,0.13,0.04,0,0,0.08,0.02
"77558","refiriera",0,0,0.13,0.04,0,0,0.08,0.02
"77559","reflejarse",0,0,0.13,0.04,0,0,0.08,0.02
"77560","refleten",0,0,0.13,0.04,0,0,0.08,0.02
"77561","reformación",0,0,0.13,0.04,0,0,0.08,0.02
"77562","reforman",0,0,0.13,0.04,0,0,0.08,0.02
"77563","reforzará",0,0,0.13,0.04,0,0,0.08,0.02
"77564","reforzarlo",0,0,0.13,0.04,0,0,0.08,0.02
"77565","refren",0,0,0.13,0.04,0,0,0.08,0.02
"77566","refrendado",0,0,0.13,0.04,0,0,0.08,0.02
"77567","refrescada",0,0,0.13,0.04,0,0,0.08,0.02
"77568","refrescan",0,0,0.13,0.04,0,0,0.08,0.02
"77569","refrescara",0,0,0.13,0.04,0,0,0.08,0.02
"77570","refrescaría",0,0,0.13,0.04,0,0,0.08,0.02
"77571","refrescarla",0,0,0.13,0.04,0,0,0.08,0.02
"77572","refrescos",0,0,0.66,0.19,0,0,0.42,0.12
"77573","refriar",0,0,0.13,0.04,0,0,0.08,0.02
"77574","refriégale",0,0,0.13,0.04,0,0,0.08,0.02
"77575","refrigeradora",0,0,0.13,0.04,0,0,0.08,0.02
"77576","refrigeradores",0,0,0.4,0.11,0,0,0.08,0.02
"77577","refritos",0,0,0.53,0.15,0,0,0.34,0.09
"77578","refruncida",0,0,0.13,0.04,0,0,0.08,0.02
"77579","refueguito",0,0,0.13,0.04,0,0,0.08,0.02
"77580","refugia",0,0,0.13,0.04,0,0,0.08,0.02
"77581","refugiarse",0,0,0.27,0.08,0,0,0.17,0.05
"77582","refugie",0,0,0.13,0.04,0,0,0.08,0.02
"77583","refúgiense",0,0,0.13,0.04,0,0,0.08,0.02
"77584","refugios",0,0,0.13,0.04,0,0,0.08,0.02
"77585","refuna",0,0,0.13,0.04,0,0,0.08,0.02
"77586","refundas",0,0,0.4,0.11,0,0,0.08,0.02
"77587","refundo",0,0,0.13,0.04,0,0,0.08,0.02
"77588","refusión",0,0,0.13,0.04,0,0,0.08,0.02
"77589","refutables",0,0,0.13,0.04,0,0,0.08,0.02
"77590","refutados",0,0,0.13,0.04,0,0,0.08,0.02
"77591","refutar",0,0,0.27,0.08,0,0,0.08,0.02
"77592","refuto",0,0,0.4,0.11,0,0,0.17,0.05
"77593","regacho",0,0,0.13,0.04,0,0,0.08,0.02
"77594","regachos",0,0,0.13,0.04,0,0,0.08,0.02
"77595","regada",0,0,0.13,0.04,0,0,0.08,0.02
"77596","regadas",0,0,0.27,0.08,0,0,0.17,0.05
"77597","regaderazo",0,0,0.27,0.08,0,0,0.17,0.05
"77598","regados",0,0,0.27,0.08,0,0,0.17,0.05
"77599","regaladoras",0,0,0.13,0.04,0,0,0.08,0.02
"77600","regálame",0,0,0.27,0.08,0,0,0.17,0.05
"77601","regalará",0,0,0.13,0.04,0,0,0.08,0.02
"77602","regalarán",0,0,0.13,0.04,0,0,0.08,0.02
"77603","regalaría",0,0,0.13,0.04,0,0,0.08,0.02
"77604","regalarían",0,0,0.13,0.04,0,0,0.08,0.02
"77605","regaña",0,0,0.27,0.08,0,0,0.17,0.05
"77606","regañada",0,0,0.13,0.04,0,0,0.08,0.02
"77607","reganan",0,0,0.13,0.04,0,0,0.08,0.02
"77608","regañara",0,0,0.13,0.04,0,0,0.08,0.02
"77609","regañarme",0,0,0.13,0.04,0,0,0.08,0.02
"77610","regañas",0,0,0.27,0.08,0,0,0.17,0.05
"77611","regañe",0,0,0.13,0.04,0,0,0.08,0.02
"77612","regáñeme",0,0,0.13,0.04,0,0,0.08,0.02
"77613","regañes",0,0,0.4,0.11,0,0,0.25,0.07
"77614","regaño",0,0,0.27,0.08,0,0,0.17,0.05
"77615","regañó",0,0,0.13,0.04,0,0,0.08,0.02
"77616","regañome",0,0,0.13,0.04,0,0,0.08,0.02
"77617","regañona",0,0,0.13,0.04,0,0,0.08,0.02
"77618","regarcho",0,0,0.13,0.04,0,0,0.08,0.02
"77619","regaste",0,0,0.53,0.15,0,0,0.34,0.09
"77620","regatearon",0,0,0.13,0.04,0,0,0.08,0.02
"77621","regazón",0,0,0.13,0.04,0,0,0.08,0.02
"77622","regelles",0,0,0.13,0.04,0,0,0.08,0.02
"77623","regeneración",0,0,0.13,0.04,0,0,0.08,0.02
"77624","regenerar",0,0,0.13,0.04,0,0,0.08,0.02
"77625","regimes",0,0,0.13,0.04,0,0,0.08,0.02
"77626","regimientos",0,0,0.13,0.04,0,0,0.08,0.02
"77627","registración",0,0,0.13,0.04,0,0,0.08,0.02
"77628","regístralo",0,0,0.13,0.04,0,0,0.08,0.02
"77629","registrará",0,0,0.27,0.08,0,0,0.17,0.05
"77630","registraré",0,0,0.27,0.08,0,0,0.08,0.02
"77631","registrarlo",0,0,0.27,0.08,0,0,0.17,0.05
"77632","registrasteis",0,0,0.27,0.08,0,0,0.08,0.02
"77633","regístrelo",0,0,0.27,0.08,0,0,0.08,0.02
"77634","réglame",0,0,0.13,0.04,0,0,0.08,0.02
"77635","regocijada",0,0,0.13,0.04,0,0,0.08,0.02
"77636","regocijo",0,0,0.27,0.08,0,0,0.17,0.05
"77637","regrésalo",0,0,0.13,0.04,0,0,0.08,0.02
"77638","regrésamela",0,0,0.13,0.04,0,0,0.08,0.02
"77639","regresáramos",0,0,0.13,0.04,0,0,0.08,0.02
"77640","regresarían",0,0,0.27,0.08,0,0,0.17,0.05
"77641","regresarías",0,0,0.13,0.04,0,0,0.08,0.02
"77642","regresarla",0,0,0.13,0.04,0,0,0.08,0.02
"77643","regresarle",0,0,0.13,0.04,0,0,0.08,0.02
"77644","regresarlo",0,0,0.13,0.04,0,0,0.08,0.02
"77645","regresarnos",0,0,0.13,0.04,0,0,0.08,0.02
"77646","regresarse",0,0,0.27,0.08,0,0,0.17,0.05
"77647","regresase",0,0,0.13,0.04,0,0,0.08,0.02
"77648","regrésate",0,0,0.27,0.08,0,0,0.17,0.05
"77649","regreséis",0,0,0.13,0.04,0,0,0.08,0.02
"77650","regrésese",0,0,0.13,0.04,0,0,0.08,0.02
"77651","reguapa",0,0,0.13,0.04,0,0,0.08,0.02
"77652","regué",0,0,0.27,0.08,0,0,0.17,0.05
"77653","regularcito",0,0,0.13,0.04,0,0,0.08,0.02
"77654","regulares",0,0,0.27,0.08,0,0,0.17,0.05
"77655","rehacerme",0,0,0.13,0.04,0,0,0.08,0.02
"77656","rehúsan",0,0,0.13,0.04,0,0,0.08,0.02
"77657","rehúsas",0,0,0.13,0.04,0,0,0.08,0.02
"77658","rehusé",0,0,0.13,0.04,0,0,0.08,0.02
"77659","reidfield",0,0,0.53,0.15,0,0,0.08,0.02
"77660","reimplántala",0,0,0.13,0.04,0,0,0.08,0.02
"77661","reinay",0,0,0.13,0.04,0,0,0.08,0.02
"77662","reine",0,0,0.27,0.08,0,0,0.17,0.05
"77663","reingold",0,0,0.27,0.08,0,0,0.08,0.02
"77664","reintegrado",0,0,0.13,0.04,0,0,0.08,0.02
"77665","reintégrese",0,0,0.13,0.04,0,0,0.08,0.02
"77666","reintegró",0,0,0.13,0.04,0,0,0.08,0.02
"77667","reiremos",0,0,0.13,0.04,0,0,0.08,0.02
"77668","reírle",0,0,0.13,0.04,0,0,0.08,0.02
"77669","rejega",0,0,0.13,0.04,0,0,0.08,0.02
"77670","rejego",0,0,0.13,0.04,0,0,0.08,0.02
"77671","rejo",0,0,0.13,0.04,0,0,0.08,0.02
"77672","rejuntar",0,0,0.13,0.04,0,0,0.08,0.02
"77673","rejuvenezcáis",0,0,0.13,0.04,0,0,0.08,0.02
"77674","rela",0,0,0.13,0.04,0,0,0.08,0.02
"77675","relacuaguete",0,0,0.13,0.04,0,0,0.08,0.02
"77676","reladas",0,0,0.13,0.04,0,0,0.08,0.02
"77677","reladita",0,0,0.13,0.04,0,0,0.08,0.02
"77678","relajamiento",0,0,0.13,0.04,0,0,0.08,0.02
"77679","relajándose",0,0,0.13,0.04,0,0,0.08,0.02
"77680","relajara",0,0,0.13,0.04,0,0,0.08,0.02
"77681","relajen",0,0,0.13,0.04,0,0,0.08,0.02
"77682","relajito",0,0,0.4,0.11,0,0,0.25,0.07
"77683","relajos",0,0,0.13,0.04,0,0,0.08,0.02
"77684","relámpagos",0,0,0.27,0.08,0,0,0.17,0.05
"77685","relan",0,0,0.13,0.04,0,0,0.08,0.02
"77686","relance",0,0,0.13,0.04,0,0,0.08,0.02
"77687","relarote",0,0,0.13,0.04,0,0,0.08,0.02
"77688","relata",0,0,0.13,0.04,0,0,0.08,0.02
"77689","relate",0,0,0.13,0.04,0,0,0.08,0.02
"77690","relativa",0,0,0.13,0.04,0,0,0.08,0.02
"77691","releasing",0,0,0.13,0.04,0,0,0.08,0.02
"77692","relegada",0,0,0.13,0.04,0,0,0.08,0.02
"77693","releguen",0,0,0.13,0.04,0,0,0.08,0.02
"77694","relicario",0,0,1.06,0.3,0,0,0.34,0.09
"77695","relinches",0,0,0.13,0.04,0,0,0.08,0.02
"77696","relindos",0,0,0.13,0.04,0,0,0.08,0.02
"77697","reliquias",0,0,0.27,0.08,0,0,0.08,0.02
"77698","reló",0,0,0.13,0.04,0,0,0.08,0.02
"77699","reloca",0,0,0.13,0.04,0,0,0.08,0.02
"77700","relojero",0,0,0.13,0.04,0,0,0.08,0.02
"77701","reloquita",0,0,0.13,0.04,0,0,0.08,0.02
"77702","relumbra",0,0,0.27,0.08,0,0,0.17,0.05
"77703","remaba",0,0,0.13,0.04,0,0,0.08,0.02
"77704","remanejes",0,0,0.13,0.04,0,0,0.08,0.02
"77705","remango",0,0,0.13,0.04,0,0,0.08,0.02
"77706","remas",0,0,0.13,0.04,0,0,0.08,0.02
"77707","rematados",0,0,0.13,0.04,0,0,0.08,0.02
"77708","rematamos",0,0,0.13,0.04,0,0,0.08,0.02
"77709","remediarlo",0,0,0.13,0.04,0,0,0.08,0.02
"77710","remedias",0,0,0.13,0.04,0,0,0.08,0.02
"77711","remenber",0,0,0.13,0.04,0,0,0.08,0.02
"77712","remendados",0,0,0.27,0.08,0,0,0.08,0.02
"77713","remiendo",0,0,0.13,0.04,0,0,0.08,0.02
"77714","reminiscente",0,0,0.13,0.04,0,0,0.08,0.02
"77715","remitente",0,0,0.13,0.04,0,0,0.08,0.02
"77716","remitir",0,0,0.13,0.04,0,0,0.08,0.02
"77717","remoja",0,0,0.13,0.04,0,0,0.08,0.02
"77718","remojón",0,0,0.13,0.04,0,0,0.08,0.02
"77719","remolachas",0,0,0.13,0.04,0,0,0.08,0.02
"77720","remolcar",0,0,0.13,0.04,0,0,0.08,0.02
"77721","rémoles",0,0,0.13,0.04,0,0,0.08,0.02
"77722","remontarse",0,0,0.27,0.08,0,0,0.08,0.02
"77723","remorderle",0,0,0.13,0.04,0,0,0.08,0.02
"77724","remordiendo",0,0,0.13,0.04,0,0,0.08,0.02
"77725","removida",0,0,0.27,0.08,0,0,0.08,0.02
"77726","removo",0,0,0.13,0.04,0,0,0.08,0.02
"77727","remueve",0,0,0.13,0.04,0,0,0.08,0.02
"77728","remuñando",0,0,0.13,0.04,0,0,0.08,0.02
"77729","renacer",0,0,0.13,0.04,0,0,0.08,0.02
"77730","renacerán",0,0,0.13,0.04,0,0,0.08,0.02
"77731","renañada",0,0,0.13,0.04,0,0,0.08,0.02
"77732","renasca",0,0,0.13,0.04,0,0,0.08,0.02
"77733","renascan",0,0,0.13,0.04,0,0,0.08,0.02
"77734","rencuentros",0,0,0.13,0.04,0,0,0.08,0.02
"77735","renda",0,0,0.13,0.04,0,0,0.08,0.02
"77736","rende",0,0,0.13,0.04,0,0,0.08,0.02
"77737","rendirme",0,0,0.13,0.04,0,0,0.08,0.02
"77738","rendo",0,0,0.27,0.08,0,0,0.08,0.02
"77739","rendón",0,0,5.05,1.44,0,0,0.08,0.02
"77740","renecito",0,0,0.27,0.08,0,0,0.08,0.02
"77741","renefastos",0,0,0.13,0.04,0,0,0.08,0.02
"77742","rengar",0,0,0.13,0.04,0,0,0.08,0.02
"77743","rengueado",0,0,0.13,0.04,0,0,0.08,0.02
"77744","reñidas",0,0,0.13,0.04,0,0,0.08,0.02
"77745","reníraros",0,0,0.13,0.04,0,0,0.08,0.02
"77746","reñiste",0,0,0.13,0.04,0,0,0.08,0.02
"77747","renombre",0,0,0.13,0.04,0,0,0.08,0.02
"77748","renoso",0,0,0.13,0.04,0,0,0.08,0.02
"77749","renpurando",0,0,0.13,0.04,0,0,0.08,0.02
"77750","rentaba",0,0,0.13,0.04,0,0,0.08,0.02
"77751","rentaste",0,0,0.13,0.04,0,0,0.08,0.02
"77752","renuda",0,0,0.13,0.04,0,0,0.08,0.02
"77753","renuncias",0,0,0.27,0.08,0,0,0.17,0.05
"77754","renunciaste",0,0,0.13,0.04,0,0,0.08,0.02
"77755","reorganizar",0,0,0.13,0.04,0,0,0.08,0.02
"77756","repadre",0,0,0.13,0.04,0,0,0.08,0.02
"77757","repajolero",0,0,0.13,0.04,0,0,0.08,0.02
"77758","repararla",0,0,0.13,0.04,0,0,0.08,0.02
"77759","repararon",0,0,0.13,0.04,0,0,0.08,0.02
"77760","repare",0,0,0.13,0.04,0,0,0.08,0.02
"77761","repartición",0,0,0.13,0.04,0,0,0.08,0.02
"77762","repartidas",0,0,0.13,0.04,0,0,0.08,0.02
"77763","repartirá",0,0,0.13,0.04,0,0,0.08,0.02
"77764","repasada",0,0,0.13,0.04,0,0,0.08,0.02
"77765","repasaron",0,0,0.13,0.04,0,0,0.08,0.02
"77766","repasé",0,0,0.13,0.04,0,0,0.08,0.02
"77767","repegostioso",0,0,0.13,0.04,0,0,0.08,0.02
"77768","repela",0,0,0.93,0.27,0,0,0.08,0.02
"77769","repelente",0,0,0.13,0.04,0,0,0.08,0.02
"77770","repercutir",0,0,0.13,0.04,0,0,0.08,0.02
"77771","repetirle",0,0,0.13,0.04,0,0,0.08,0.02
"77772","repetirte",0,0,0.13,0.04,0,0,0.08,0.02
"77773","repetiste",0,0,0.27,0.08,0,0,0.08,0.02
"77774","repido",0,0,0.13,0.04,0,0,0.08,0.02
"77775","repinchi",0,0,0.27,0.08,0,0,0.08,0.02
"77776","repítala",0,0,0.13,0.04,0,0,0.08,0.02
"77777","repítalo",0,0,0.27,0.08,0,0,0.08,0.02
"77778","repítame",0,0,0.13,0.04,0,0,0.08,0.02
"77779","repitiéndomelo",0,0,0.13,0.04,0,0,0.08,0.02
"77780","replique",0,0,0.13,0.04,0,0,0.08,0.02
"77781","repliquéis",0,0,0.13,0.04,0,0,0.08,0.02
"77782","reponen",0,0,0.27,0.08,0,0,0.17,0.05
"77783","reponer",0,0,0.4,0.11,0,0,0.25,0.07
"77784","reponerle",0,0,0.13,0.04,0,0,0.08,0.02
"77785","reponiéndome",0,0,0.13,0.04,0,0,0.08,0.02
"77786","reportado",0,0,0.27,0.08,0,0,0.17,0.05
"77787","reportamos",0,0,0.13,0.04,0,0,0.08,0.02
"77788","repórtate",0,0,0.13,0.04,0,0,0.08,0.02
"77789","repórter",0,0,0.4,0.11,0,0,0.25,0.07
"77790","reportes",0,0,0.13,0.04,0,0,0.08,0.02
"77791","repórtese",0,0,0.13,0.04,0,0,0.08,0.02
"77792","reposamos",0,0,0.13,0.04,0,0,0.08,0.02
"77793","reposando",0,0,0.27,0.08,0,0,0.17,0.05
"77794","repose",0,0,0.13,0.04,0,0,0.08,0.02
"77795","reposen",0,0,0.13,0.04,0,0,0.08,0.02
"77796","reprender",0,0,0.13,0.04,0,0,0.08,0.02
"77797","reprendía",0,0,0.13,0.04,0,0,0.08,0.02
"77798","reprendido",0,0,0.13,0.04,0,0,0.08,0.02
"77799","repreocupada",0,0,0.13,0.04,0,0,0.08,0.02
"77800","representaría",0,0,0.13,0.04,0,0,0.08,0.02
"77801","representarlos",0,0,0.13,0.04,0,0,0.08,0.02
"77802","representativos",0,0,0.13,0.04,0,0,0.08,0.02
"77803","represiones",0,0,0.13,0.04,0,0,0.08,0.02
"77804","reprimían",0,0,0.13,0.04,0,0,0.08,0.02
"77805","reprimiendo",0,0,0.13,0.04,0,0,0.08,0.02
"77806","reprimo",0,0,0.13,0.04,0,0,0.08,0.02
"77807","reprobar",0,0,0.27,0.08,0,0,0.17,0.05
"77808","reprobaron",0,0,0.13,0.04,0,0,0.08,0.02
"77809","reprobaste",0,0,0.13,0.04,0,0,0.08,0.02
"77810","reprobé",0,0,0.13,0.04,0,0,0.08,0.02
"77811","reprobó",0,0,0.13,0.04,0,0,0.08,0.02
"77812","reprocharte",0,0,0.13,0.04,0,0,0.08,0.02
"77813","reprochas",0,0,0.13,0.04,0,0,0.08,0.02
"77814","reproductores",0,0,0.13,0.04,0,0,0.08,0.02
"77815","reprueba",0,0,0.13,0.04,0,0,0.08,0.02
"77816","reprueben",0,0,0.13,0.04,0,0,0.08,0.02
"77817","repudiábamos",0,0,0.13,0.04,0,0,0.08,0.02
"77818","repugne",0,0,0.13,0.04,0,0,0.08,0.02
"77819","repuja",0,0,0.13,0.04,0,0,0.08,0.02
"77820","repulsivo",0,0,0.13,0.04,0,0,0.08,0.02
"77821","repuse",0,0,0.13,0.04,0,0,0.08,0.02
"77822","reputar",0,0,0.13,0.04,0,0,0.08,0.02
